tanggal,deskripsi,debit,kredit,saldo
01/01/2025,TRANSFER MASUK GAJI JANUARI,,8500000,8500000
02/01/2025,GOPAY TOP UP,200000,,8300000
02/01/2025,GRAB FOOD ORDER,45000,,8255000
03/01/2025,INDOMARET BELANJA HARIAN,78500,,8176500
03/01/2025,TOKEN LISTRIK PLN,100000,,8076500
04/01/2025,SPOTIFY PREMIUM,54000,,8022500
05/01/2025,TOKOPEDIA BELI BARANG,320000,,7702500
06/01/2025,GRAB GOCAR,35000,,7667500
07/01/2025,ALFAMART,55000,,7612500
08/01/2025,STARBUCKS COFFEE,75000,,7537500
09/01/2025,NETFLIX SUBSCRIPTION,186000,,7351500
10/01/2025,TELKOMSEL PAKET DATA,85000,,7266500
11/01/2025,GOFOOD MAKAN SIANG,62000,,7204500
12/01/2025,MCDONALD MAKAN MALAM,89000,,7115500
13/01/2025,BPJS KESEHATAN,100000,,7015500
14/01/2025,INDIHOME INTERNET,350000,,6665500
15/01/2025,CASHBACK GOPAY,,50000,6715500
15/01/2025,GRAB GOCAR,42000,,6673500
16/01/2025,SUPERINDO BELANJA MINGGUAN,245000,,6428500
17/01/2025,GOJEK GORIDE,25000,,6403500
18/01/2025,KFC MAKAN SIANG,87500,,6316000
19/01/2025,UDEMY KURSUS ONLINE,150000,,6166000
20/01/2025,TRANSFER KELUAR TEMAN,500000,,5666000
21/01/2025,PARKIR MALL,20000,,5646000
22/01/2025,BIBIT REKSA DANA,500000,,5146000
23/01/2025,GRAB FOOD ORDER,55000,,5091000
24/01/2025,APOTEK KIMIA FARMA,125000,,4966000
25/01/2025,YOUTUBE PREMIUM,59000,,4907000
26/01/2025,TRANSJAKARTA,14000,,4893000
27/01/2025,SHOPEE BELANJA,189000,,4704000
28/01/2025,WARUNG MAKAN SIANG,35000,,4669000
29/01/2025,GRAB GOCAR,38000,,4631000
30/01/2025,OVO TOP UP,300000,,4331000
31/01/2025,PDAM AIR BERSIH,75000,,4256000
01/02/2025,TRANSFER MASUK GAJI FEBRUARI,,8500000,12756000
01/02/2025,GOPAY TOP UP,200000,,12556000
02/02/2025,INDOMARET,63000,,12493000
03/02/2025,GOFOOD MAKAN SIANG,58000,,12435000
04/02/2025,GRAB GOCAR,44000,,12391000
05/02/2025,LAZADA BELANJA ONLINE,275000,,12116000
06/02/2025,SPOTIFY PREMIUM,54000,,12062000
07/02/2025,STARBUCKS,68000,,11994000
08/02/2025,KFC,72000,,11922000
09/02/2025,TELKOMSEL PULSA,100000,,11822000
10/02/2025,NETFLIX,186000,,11636000
11/02/2025,BPJS,100000,,11536000
12/02/2025,SUPERINDO,198000,,11338000
13/02/2025,GOJEK GORIDE,22000,,11316000
14/02/2025,MAKAN MALAM RESTO,145000,,11171000
15/02/2025,TOKEN LISTRIK PLN,100000,,11071000
16/02/2025,INDIHOME,350000,,10721000
17/02/2025,BUNGA DEPOSITO,,125000,10846000
18/02/2025,SHOPEE BELANJA,310000,,10536000
19/02/2025,GRAB FOOD,48000,,10488000
20/02/2025,ALFAMART,42000,,10446000
21/02/2025,TRANSFER KELUAR,300000,,10146000
22/02/2025,BIBIT REKSA DANA,500000,,9646000
23/02/2025,PARKIR,15000,,9631000
24/02/2025,APOTEK,85000,,9546000
25/02/2025,KURSUS ONLINE COURSERA,189000,,9357000
26/02/2025,GRAB GOCAR,38000,,9319000
27/02/2025,WARUNG MAKAN,28000,,9291000
28/02/2025,PDAM,75000,,9216000
01/03/2025,TRANSFER MASUK GAJI MARET,,8500000,17716000
02/03/2025,GOPAY TOP UP,150000,,17566000
03/03/2025,GOFOOD,72000,,17494000
04/03/2025,INDOMARET,55000,,17439000
05/03/2025,GRAB GOCAR,40000,,17399000
06/03/2025,TOKOPEDIA,450000,,16949000
07/03/2025,SPOTIFY,54000,,16895000
08/03/2025,STARBUCKS,88000,,16807000
09/03/2025,TELKOMSEL PAKET DATA,85000,,16722000
10/03/2025,NETFLIX,186000,,16536000
11/03/2025,KFC,95000,,16441000
12/03/2025,BPJS,100000,,16341000
13/03/2025,SUPERINDO BELANJA,278000,,16063000
14/03/2025,GRAB FOOD,65000,,15998000
15/03/2025,TOKEN LISTRIK,100000,,15898000
16/03/2025,INDIHOME,350000,,15548000
17/03/2025,REFUND TOKOPEDIA,,75000,15623000
18/03/2025,SHOPEE,220000,,15403000
19/03/2025,GOJEK,28000,,15375000
20/03/2025,MAKAN RESTO,175000,,15200000
21/03/2025,STOCKBIT SAHAM,1000000,,14200000
22/03/2025,BIBIT REKSA DANA,500000,,13700000
23/03/2025,PARKIR,20000,,13680000
24/03/2025,APOTEK GUARDIAN,68000,,13612000
25/03/2025,YOUTUBE PREMIUM,59000,,13553000
26/03/2025,GRAB GOCAR,45000,,13508000
27/03/2025,GRAB FOOD,55000,,13453000
28/03/2025,ALFAMART,48000,,13405000
29/03/2025,PDAM,75000,,13330000
30/03/2025,WARUNG MAKAN,32000,,13298000
31/03/2025,TRANSFER KELUAR,250000,,13048000
